User_Type,Weight_Profile,Model,k,HitRate,NDCG,unSerendipity,Train_Scenario,trainable
all,None,Base_SASRec,2,0.04739336492890995,0.03981372321710735,0.03625306,1,False
all,None,Base_SASRec,4,0.06477093206951026,0.048064443963226726,0.033004656,1,False
all,None,Base_SASRec,6,0.07266982622432859,0.051120153341066704,0.030373948,1,False
all,None,Base_SASRec,8,0.08056872037914692,0.05372488984994359,0.028561892,1,False
all,None,Base_SASRec,10,0.08056872037914692,0.05372488984994359,0.027264256,1,False
all,None,Base_SASRec,12,0.0947867298578199,0.057635896715606975,0.026416736,1,False
all,None,Base_SASRec,14,0.09794628751974724,0.05844461085402661,0.025529828,1,False
all,None,Base_SASRec,16,0.10268562401263823,0.05961254305661185,0.02502389,1,False
all,None,Base_SASRec,18,0.10900473933649289,0.06110011912843894,0.024401614,1,False
all,None,Base_SASRec,20,0.11374407582938388,0.0621849828101983,0.023887131,1,False
all,None,Base_SASRec,30,0.12954186413902052,0.06547917567194579,0.022301361,1,False
all,None,Base_SASRec,50,0.15481832543443919,0.07018363898142115,0.020549785,1,False
warm,None,Base_SASRec,2,0.06224066390041494,0.052286487129520644,0.04090667,,False
warm,None,Base_SASRec,4,0.08506224066390042,0.06312197723801352,0.036832318,,False
warm,None,Base_SASRec,6,0.0954356846473029,0.06713497316368304,0.033774007,,False
warm,None,Base_SASRec,8,0.10580912863070539,0.07055571633820393,0.031745818,,False
warm,None,Base_SASRec,10,0.10580912863070539,0.07055571633820393,0.030116675,,False
warm,None,Base_SASRec,12,0.12448132780082988,0.07569195564518509,0.0292103,,False
warm,None,Base_SASRec,14,0.12863070539419086,0.07675402213817188,0.028197063,,False
warm,None,Base_SASRec,16,0.13485477178423236,0.078287841815011,0.027558126,,False
warm,None,Base_SASRec,18,0.14315352697095435,0.08024144275581298,0.026732132,,False
warm,None,Base_SASRec,20,0.14937759336099585,0.08166617037106955,0.026148092,,False
warm,None,Base_SASRec,30,0.17012448132780084,0.08599236141149728,0.024216887,,False
warm,None,Base_SASRec,50,0.2033195020746888,0.09217062961667964,0.022280728,,False
cold,None,Base_SASRec,2,0.0,0.0,0.021398492,,False
cold,None,Base_SASRec,4,0.0,0.0,0.020786574,,False
cold,None,Base_SASRec,6,0.0,0.0,0.019520793,,False
cold,None,Base_SASRec,8,0.0,0.0,0.018398631,,False
cold,None,Base_SASRec,10,0.0,0.0,0.01815918,,False
cold,None,Base_SASRec,12,0.0,0.0,0.01749954,,False
cold,None,Base_SASRec,14,0.0,0.0,0.017015876,,False
cold,None,Base_SASRec,16,0.0,0.0,0.016934473,,False
cold,None,Base_SASRec,18,0.0,0.0,0.016962474,,False
cold,None,Base_SASRec,20,0.0,0.0,0.016670031,,False
cold,None,Base_SASRec,30,0.0,0.0,0.016186895,,False
cold,None,Base_SASRec,50,0.0,0.0,0.015024519,,False
all,None,w2v,2,0.007898894154818325,0.006149746067479261,0.82870144,2,False
all,None,w2v,4,0.01579778830963665,0.00988016173279804,0.8285777,2,False
all,None,w2v,6,0.022116903633491312,0.012324729235070024,0.82795435,2,False
all,None,w2v,8,0.022116903633491312,0.012324729235070024,0.8279155,2,False
all,None,w2v,10,0.026856240126382307,0.013713607036491441,0.8276615,2,False
all,None,w2v,12,0.02843601895734597,0.01414052355217441,0.82755893,2,False
all,None,w2v,14,0.02843601895734597,0.01414052355217441,0.8273837,2,False
all,None,w2v,16,0.02843601895734597,0.01414052355217441,0.8272669,2,False
all,None,w2v,18,0.030015797788309637,0.014519374210259926,0.8271357,2,False
all,None,w2v,20,0.03317535545023697,0.015244569252687593,0.8270393,2,False
all,None,w2v,30,0.04265402843601896,0.017238832653513936,0.826443,2,False
all,None,w2v,50,0.05055292259083728,0.018708578369045933,0.8256597,2,False
all,None,bert,2,0.01263823064770932,0.012055181285262966,0.8118964,2,False
all,None,bert,4,0.014218009478672985,0.012735554994699607,0.81178474,2,False
