User_Type,Weight_Profile,Model,k,HitRate,NDCG,unSerendipity,Train_Scenario,trainable
all,None,Base_SASRec,2,0.020537124802527645,0.017621877990295874,0.1181385,1,True
all,None,Base_SASRec,4,0.02843601895734597,0.021133262243524267,0.11648333,1,True
all,None,Base_SASRec,6,0.03949447077409163,0.02531442876862498,0.1150215,1,True
all,None,Base_SASRec,8,0.05055292259083728,0.028887666536623263,0.11296296,1,True
all,None,Base_SASRec,10,0.05529225908372828,0.030314348980528386,0.111260734,1,True
all,None,Base_SASRec,12,0.061611374407582936,0.0320357666881636,0.109844744,1,True
all,None,Base_SASRec,14,0.06635071090047394,0.03326998010820184,0.10861709,1,True
all,None,Base_SASRec,16,0.07266982622432859,0.034832857018527986,0.10772596,1,True
all,None,Base_SASRec,18,0.07424960505529225,0.0352117076766135,0.10689745,1,True
all,None,Base_SASRec,20,0.08056872037914692,0.03665623999770452,0.10609705,1,True
all,None,Base_SASRec,30,0.10110584518167456,0.04113575317326484,0.10321245,1,True
all,None,Base_SASRec,50,0.14375987361769352,0.04927219090976426,0.09914022,1,True
warm,None,Base_SASRec,2,0.026970954356846474,0.023142424829579438,0.12372762,,True
warm,None,Base_SASRec,4,0.03734439834024896,0.02775384854803083,0.12196171,,True
warm,None,Base_SASRec,6,0.05186721991701245,0.033244882594480524,0.12049461,,True
warm,None,Base_SASRec,8,0.06639004149377593,0.0379375371736152,0.118183486,,True
warm,None,Base_SASRec,10,0.07261410788381743,0.03981116785202172,0.116316095,,True
warm,None,Base_SASRec,12,0.08091286307053942,0.042071867870555106,0.11483573,,True
warm,None,Base_SASRec,14,0.08713692946058091,0.04369273321263851,0.11361316,,True
warm,None,Base_SASRec,16,0.0954356846473029,0.04574522508864775,0.112647235,,True
warm,None,Base_SASRec,18,0.0975103734439834,0.04624276132634096,0.111740455,,True
warm,None,Base_SASRec,20,0.10580912863070539,0.04813983385590656,0.11081303,,True
warm,None,Base_SASRec,30,0.13278008298755187,0.054022679997254436,0.10773527,,True
warm,None,Base_SASRec,50,0.1887966804979253,0.06470808474249123,0.10343207,,True
cold,None,Base_SASRec,2,0.0,0.0,0.10029776,,True
cold,None,Base_SASRec,4,0.0,0.0,0.09899606,,True
cold,None,Base_SASRec,6,0.0,0.0,0.097550996,,True
cold,None,Base_SASRec,8,0.0,0.0,0.09629875,,True
cold,None,Base_SASRec,10,0.0,0.0,0.0951238,,True
cold,None,Base_SASRec,12,0.0,0.0,0.09391326,,True
cold,None,Base_SASRec,14,0.0,0.0,0.09266932,,True
cold,None,Base_SASRec,16,0.0,0.0,0.092017055,,True
cold,None,Base_SASRec,18,0.0,0.0,0.09143828,,True
cold,None,Base_SASRec,20,0.0,0.0,0.09104338,,True
cold,None,Base_SASRec,30,0.0,0.0,0.08877542,,True
cold,None,Base_SASRec,50,0.0,0.0,0.0854404,,True
all,None,w2v,2,0.0,0.0,0.8903045,2,True
all,None,w2v,4,0.00315955766192733,0.001579778830963665,0.89025533,2,True
all,None,w2v,6,0.011058451816745656,0.004441835001053128,0.8901994,2,True
all,None,w2v,8,0.01579778830963665,0.005993385622620894,0.89008486,2,True
all,None,w2v,10,0.018957345971563982,0.006925604930649123,0.8900434,2,True
all,None,w2v,12,0.023696682464454975,0.0082338577675047,0.8899617,2,True
all,None,w2v,14,0.02527646129541864,0.008638214836714519,0.8899352,2,True
all,None,w2v,16,0.03317535545023697,0.010587585494462825,0.889839,2,True
all,None,w2v,18,0.04265402843601896,0.012846776162718438,0.8898125,2,True
all,None,w2v,20,0.04897314375987362,0.014291308483809459,0.8897769,2,True
all,None,w2v,30,0.05845181674565561,0.016270496748631912,0.8895601,2,True
all,None,w2v,50,0.08846761453396525,0.021964371408098322,0.8890815,2,True
all,None,bert,2,0.00631911532385466,0.005153016598961951,0.8705632,2,True
all,None,bert,4,0.009478672985781991,0.0067327954299256166,0.87050825,2,True
all,None,bert,6,0.01263823064770932,0.007906665879123979,0.8705345,2,True
all,None,bert,8,0.017377567140600316,0.009401760081899945,0.8703827,2,True
all,None,bert,10,0.017377567140600316,0.009401760081899945,0.87024945,2,True
all,None,bert,12,0.026856240126382307,0.012004514110707765,0.87016934,2,True
all,None,bert,14,0.036334913112164295,0.014462369844579843,0.8701245,2,True
all,None,bert,16,0.04107424960505529,0.015630302047165076,0.8701016,2,True
all,None,bert,18,0.044233807266982623,0.016374090083078625,0.8699637,2,True
all,None,bert,20,0.04897314375987362,0.01745309600107366,0.86988443,2,True
all,None,bert,30,0.0631911532385466,0.02052115305585789,0.86956954,2,True
all,None,bert,50,0.0995260663507109,0.02727158148265243,0.86895394,2,True
all,None,minilm,2,0.00315955766192733,0.0025765082994809755,0.8716094,2,True
all,None,minilm,4,0.007898894154818325,0.00483666083988128,0.87160766,2,True
all,None,minilm,6,0.011058451816745656,0.006010531289079643,0.8716301,2,True
all,None,minilm,8,0.017377567140600316,0.008088674854301963,0.87161016,2,True
all,None,minilm,10,0.026856240126382307,0.010904235099628505,0.87124896,2,True
all,None,minilm,12,0.030015797788309637,0.011758068130994444,0.8710984,2,True
all,None,minilm,14,0.0315955766192733,0.012162425200204264,0.87101525,2,True
all,None,minilm,16,0.037914691943127965,0.013725302110530413,0.87102973,2,True
all,None,minilm,18,0.03949447077409163,0.014104152768615926,0.8710594,2,True
all,None,minilm,20,0.044233807266982623,0.01518901645037527,0.8710307,2,True
all,None,minilm,30,0.05845181674565561,0.018197303458808455,0.8706747,2,True
