Model,Hidden_Dim,Layers,Heads,LR,Trainable,k,HitRate,NDCG,unSerendipity
word2vec,256,1,1,0.0001,True,10,0.08530805687203792,0.0461045701671233,0.72475314
word2vec,256,1,1,0.0001,True,20,0.12322274881516587,0.05576513715046538,0.7289518
word2vec,256,1,1,0.0001,False,10,0.030015797788309637,0.02027886266755335,0.5659631
word2vec,256,1,1,0.0001,False,20,0.036334913112164295,0.021866495686398715,0.564466
bert_multi,256,1,1,0.0001,True,10,0.044233807266982623,0.027034104311647156,0.8498385
bert_multi,256,1,1,0.0001,True,20,0.0631911532385466,0.03171184075859189,0.84903896
bert_multi,256,1,1,0.0001,False,10,0.00631911532385466,0.004402659944994337,0.7842885
bert_multi,256,1,1,0.0001,False,20,0.014218009478672985,0.006432141371290312,0.7869013
qwen,256,1,1,0.0001,True,10,0.044233807266982623,0.02436307040413797,0.85665756
qwen,256,1,1,0.0001,True,20,0.0631911532385466,0.02912027935091786,0.8562141
qwen,256,1,1,0.0001,False,10,0.0315955766192733,0.02707571989822037,0.31504044
qwen,256,1,1,0.0001,False,20,0.037914691943127965,0.028667464593950063,0.31319207
word2vec,256,1,1,1e-05,True,10,0.05055292259083728,0.02281538900680625,0.8711829
word2vec,256,1,1,1e-05,True,20,0.06477093206951026,0.026412288093349966,0.8693728
word2vec,256,1,1,1e-05,False,10,0.03317535545023697,0.026222554599279725,0.6511847
word2vec,256,1,1,1e-05,False,20,0.04107424960505529,0.028097213443796933,0.6701068
bert_multi,256,1,1,1e-05,True,10,0.05687203791469194,0.03322432177600922,0.86121166
bert_multi,256,1,1,1e-05,True,20,0.08846761453396525,0.04124072377911278,0.86089575
bert_multi,256,1,1,1e-05,False,10,0.01263823064770932,0.004946474683441998,0.7348572
bert_multi,256,1,1,1e-05,False,20,0.01579778830963665,0.005745776460392734,0.7361751
qwen,256,1,1,1e-05,True,10,0.052132701421800945,0.03344721191417438,0.85781664
qwen,256,1,1,1e-05,True,20,0.0631911532385466,0.036194422982355604,0.8574969
qwen,256,1,1,1e-05,False,10,0.03949447077409163,0.03236040533489041,0.34767738
qwen,256,1,1,1e-05,False,20,0.05055292259083728,0.03512398886897781,0.34922016
word2vec,256,1,2,0.0001,True,10,0.08214849921011058,0.04476559315033831,0.7245316
word2vec,256,1,2,0.0001,True,20,0.13744075829383887,0.05897816786629343,0.72876054
word2vec,256,1,2,0.0001,False,10,0.0315955766192733,0.020654258298935056,0.8363051
word2vec,256,1,2,0.0001,False,20,0.036334913112164295,0.021821206624867407,0.84185743
bert_multi,256,1,2,0.0001,True,10,0.052132701421800945,0.031464928556712145,0.8510936
bert_multi,256,1,2,0.0001,True,20,0.07898894154818326,0.03831307965528171,0.8499269
bert_multi,256,1,2,0.0001,False,10,0.017377567140600316,0.011049521892954895,0.8220327
bert_multi,256,1,2,0.0001,False,20,0.023696682464454975,0.012607309217241526,0.8219798
qwen,256,1,2,0.0001,True,10,0.061611374407582936,0.03706378360527531,0.8555421
qwen,256,1,2,0.0001,True,20,0.08056872037914692,0.04181588221902809,0.85522056
qwen,256,1,2,0.0001,False,10,0.044233807266982623,0.03712585567693877,0.4391843
qwen,256,1,2,0.0001,False,20,0.052132701421800945,0.039125869335398904,0.43656147
word2vec,256,1,2,1e-05,True,10,0.045813586097946286,0.021594851447489023,0.86667037
word2vec,256,1,2,1e-05,True,20,0.06477093206951026,0.026359304809895078,0.8640635
